UPRN,Unique Asset ID,Name of Building/Land,"Street
No.",Street Name,Locality,Postal Town,Postcode,Easting,Northing,Ownership,"occupied by
local
authority*
(physical
occupation
of the","ground
leasehold",leasehold,Licence,vacant,Other,"Land or land &
building"
100121374301,STR/CP/08,Rowcroft Retreat car park,,Merrywalks,,Stroud,GL5 3BE,X: 384914,Y: 205280,Freehold,,,,,,,Land
10014283580,ARL/CP/01,Arlingham car park,,Passage Road,Arlingham,Gloucester,GL2 7JS,X: 370699,Y: 211005,Freehold,,,,,,,Land
200003109632,BER/CP/02,Car park adjacent to library,,School Lane,,Berkeley,GL13 9DQ,X: 368253,Y: 199386,Freehold,,,,,,,Land
200003108328,BER/CP/01,Marybrook Street car park,,Marybrook Street,,Berkeley,GL13 9AA,X: 368364,Y: 199400,Freehold,,,,,,,Land
10014283581,CHA/CP/01,Wheatsheaves car park,,Silver Street,Chalford,Stroud,GL6 8,X: 389484,Y: 202954,Freehold,,,,,,,Land
100121374059,CAI/CP/01,Cainscross car park,,Westward Road,Cainscross,Stroud,GL5 4ES,X: 383427,Y: 205103,Freehold,,,,,,,Land
10014283582,CAI/CP/02,St Matthews car park,,Church Road,Cainscross,Stroud,GL5 4JE,X: 382981,Y: 204888,Freehold,,,,,,,Land
200003108350,CAM/CP/01,Chapel Street car park,,Chapel Street,Cam,Dursley,GL11 5NU,X: 374997,Y: 200279,Freehold,,,,,,,Land
10009415068,DUR/CP/02,Castle Street (Pool) car park,,Castle Street,,Dursley,GL11 4BS,X: 375485,Y: 198256,Freehold,,,,,,,Land
100121373423,DUR/CP/01,May Lane car park,,Hill Road,,Dursley,GL11 4JW,X: 375339,Y: 198061,Freehold,,,,,,,Land
10014280833,DUR/CP/04,Broadwell car park,,Water Street,,Dursley,GL11 4JG,X: 375745,Y: 198089,Freehold,,,,,,,Land
10001169304,DUR/CP/02,Castle Street car park,,Castle Street,,Dursley,GL11 4BS,X: 375489,Y: 198208,Leasehold,,,,,,,Land
,DUR/CP/07,Long Street car park,,Long Street,,Dursley,GL11 4LS,X: 375966,Y: 198332,Freehold,,,,,,,Land
10014283579,HOR/CP/01,Horsley car park,,The Street,Horsley,Stroud,GL6 0PU,X: 383921,Y: 198051,Freehold,,,,,,,Land
